Index,Time,Wind,Competitor,DOB,Country,Venue,Date
1,257.3,,Anne SMITH,31/08/1941,GBR,London (GBR),03/06/1967
2,255.6,,Maria GOMMERS,26/09/1939,NED,Sittard (NED),24/10/1967
3,252.4,,Paola PIGNI,30/12/1945,ITA,Milano (ITA),02/07/1969
4,250.7,,Jaroslava JEHLI?KOVÁ,24/03/1942,TCH,Athina (GRE),20/09/1969
5,249.6,,Karin BURNELEIT,18/08/1943,GDR,Helsinki (FIN),15/08/1971
6,246.9,,Lyudmila BRAGINA,24/07/1943,URS,Moskva (URS),18/07/1972
7,246.5,,Lyudmila BRAGINA,24/07/1943,URS,München (GER),04/09/1972
8,245.1,,Lyudmila BRAGINA,24/07/1943,URS,München (Olympiastadion),07/09/1972
9,241.4,,Lyudmila BRAGINA,24/07/1943,URS,München (Olympiastadion),09/09/1972
10,236.0,,Tatyana KAZANKINA,17/12/1951,URS,Podolsk (URS),28/06/1976
11,235.0,,Tatyana KAZANKINA,17/12/1951,URS,Moskva (URS),06/07/1980
12,232.5,,Tatyana KAZANKINA,17/12/1951,URS,Zürich (SUI),13/08/1980
13,230.5,,Yunxia QU,25/12/1972,CHN,Beijing (CHN),11/09/1993
14,230.1,,Genzebe DIBABA,08/02/1991,ETH,Monaco (Stade Louis II),17/07/2015
