Index,Time,Wind,Competitor,DOB,Country,Venue,Date
1,150.40,,Georgette LENOIR,,FRA,Paris (FRA),20/08/1922
2,146.60,,Mary LINES,03/12/1893,GBR,London (GBR),30/08/1922
3,143.80,,Lina BATSCHAUER-RADKE,18/10/1903,GER,Breslau (GER),07/08/1927
4,140.40,,Inga GENTZEL,24/04/1908,SWE,Stockholm (SWE),16/06/1928
5,139.60,,LIna RADKE,18/10/1903,GER,Brieg (GER),01/07/1928
6,136.80,,LIna RADKE,18/10/1903,GER,Amsterdam (NED),02/08/1928
7,135.90,,Anna LARSSON,02/01/1922,SWE,Stockholm (SWE),27/08/1944
8,134.80,,Anna LARSSON,02/01/1922,SWE,Helsingborg (SWE),19/08/1945
9,133.80,,Anna LARSSON,02/01/1922,SWE,Stockholm (SWE),30/08/1945
10,133.00,,Yevdokiya VASILYEVA,14/03/1916,URS,Moskva (URS),17/07/1950
11,132.20,,Valentina POMOGAYEVA,07/01/1925,URS,Moskva (URS),26/07/1951
12,132.00,,Nina PLETNYOVA,23/05/1928,URS,Minsk (BLR),26/08/1951
13,128.50,,Nina PLETNYOVA,23/05/1928,URS,Kiev (URS),15/06/1952
14,127.30,,Nina OTKALENKO,23/05/1928,URS,Moskva (URS),27/08/1953
15,126.60,,Nina OTKALENKO,23/05/1928,URS,Kiev (URS),16/09/1954
16,125.00,,Nina OTKALENKO,23/05/1928,URS,Zagreb (CRO),24/09/1955
17,124.30,,Lyudmila SHEVTSOVA,26/11/1934,URS,Moskva (URS),03/07/1960
18,124.30,,Lyudmila SHEVTSOVA,26/11/1934,URS,Roma (ITA),07/09/1960
19,121.20,,Dixie WILLIS,13/11/1941,AUS,Perth (AUS),03/03/1962
20,118.00,,Geum-Dan SHIN,03/07/1938,PRK,Pyongyang (PRK),05/09/1964
21,121.10,,Ann PACKER,08/03/1942,GBR,Tokyo (JPN),20/10/1964
22,121.00,,Judy POLLOCK,25/06/1940,AUS,Helsinki (FIN),28/06/1967
23,120.50,,Vera NIKOLI?,23/09/1948,YUG,London (GBR),20/07/1968
24,118.50,,Hildegard FALCK,03/06/1949,GER,Stuttgart (GER),11/07/1971
25,117.50,,Svetla ZLATEVA,25/02/1952,BUL,Athina (GRE),24/08/1973
26,116.00,,Valentina GERASIMOVA,15/05/1948,URS,Kiev (URS),12/06/1976
27,114.90,,Tatyana KAZANKINA,17/12/1951,URS,Montréal (Olympic Stadium),26/07/1976
28,114.90,,Nadezhda OLIZARENKO,28/11/1953,URS,Moskva (URS),12/06/1980
29,113.43,,Nadezhda OLIZARENKO,28/11/1953,URS,Moskva (Lenin Stadium),27/07/1980
30,113.28,,Jarmila KRATOCHVÍLOVÁ,26/01/1951,TCH,München (GER),26/07/1983
